serie,iteracion,puntos_corte,rmse_medio,tiempo
serie_2,45,"[58, 96, 111, 220, 343, 372, 375, 403, 426]",1.888016,0.000740
serie_2,46,"[55, 66, 107, 116, 206, 271, 286, 394, 431]",1.570716,0.000728
serie_2,47,"[16, 42, 64, 135, 431, 479, 492, 493, 499]",2.016126,0.000690
serie_2,48,"[172, 214, 226, 260, 263, 281, 298, 373, 423]",1.825568,0.000682
serie_2,49,"[50, 76, 78, 79, 133, 155, 164, 244, 328]",1.837136,0.000674
serie_2,50,"[23, 38, 161, 165, 207, 323, 391, 457, 498]",1.961564,0.000666
serie_2,51,"[8, 31, 47, 125, 239, 293, 461, 473, 496]",2.038986,0.000660
serie_2,52,"[5, 55, 103, 198, 271, 363, 409, 462, 475]",1.564622,0.000688
serie_2,53,"[12, 16, 129, 186, 196, 214, 244, 353, 427]",1.874220,0.000668
serie_2,54,"[69, 90, 128, 129, 201, 365, 381, 437, 487]",1.741877,0.000652
serie_2,55,"[11, 70, 83, 231, 234, 249, 285, 292, 331]",1.984343,0.000669
serie_2,56,"[25, 34, 47, 67, 74, 101, 116, 258, 490]",2.191882,0.000684
serie_2,57,"[36, 185, 188, 247, 294, 366, 434, 478, 489]",1.742372,0.000656
serie_2,58,"[53, 165, 192, 194, 231, 271, 292, 303, 420]",1.748869,0.000665
serie_2,59,"[86, 171, 252, 283, 303, 357, 421, 432, 463]",1.570830,0.000662
serie_2,60,"[82, 110, 176, 225, 226, 426, 434, 452, 458]",1.894352,0.000652
serie_2,61,"[4, 96, 146, 247, 251, 279, 327, 454, 462]",1.801464,0.000667
serie_2,62,"[63, 88, 157, 280, 316, 339, 404, 405, 495]",1.798936,0.000664
serie_2,63,"[33, 70, 105, 128, 193, 244, 302, 437, 441]",1.739126,0.000661
serie_2,64,"[52, 138, 190, 228, 289, 308, 324, 355, 421]",1.403776,0.000710
serie_2,65,"[50, 61, 72, 74, 335, 419, 445, 461, 495]",2.084356,0.000660
serie_2,66,"[1, 99, 178, 233, 238, 250, 253, 321, 484]",1.899345,0.000638
serie_2,67,"[36, 136, 202, 248, 271, 295, 381, 396, 474]",1.757804,0.000643
serie_2,68,"[25, 46, 122, 237, 238, 276, 294, 395, 406]",1.803315,0.000639
serie_2,69,"[3, 94, 108, 180, 259, 275, 303, 317, 374]",1.792207,0.000708
serie_2,70,"[76, 88, 165, 226, 326, 362, 406, 427, 451]",1.694299,0.000735
serie_2,71,"[14, 86, 107, 189, 216, 274, 280, 295, 457]",1.640600,0.000676
serie_2,72,"[6, 25, 44, 72, 95, 175, 220, 325, 402]",1.815320,0.000646
serie_2,73,"[4, 59, 115, 194, 249, 309, 311, 359, 402]",1.480224,0.000677
serie_2,74,"[76, 79, 105, 324, 349, 356, 387, 417, 418]",1.921902,0.000693
serie_2,75,"[39, 112, 128, 192, 324, 355, 370, 414, 461]",1.727409,0.000681
serie_2,76,"[31, 44, 48, 69, 179, 253, 315, 351, 400]",1.696130,0.000658
serie_2,77,"[68, 155, 159, 171, 209, 251, 256, 390, 455]",1.912126,0.000677
serie_2,78,"[40, 102, 144, 266, 294, 316, 320, 369, 410]",1.599139,0.000666
serie_2,79,"[17, 19, 60, 99, 147, 263, 296, 330, 372]",1.845106,0.000654
serie_2,80,"[35, 74, 140, 181, 254, 400, 451, 481, 490]",1.808735,0.000671
serie_2,81,"[26, 106, 122, 208, 252, 418, 484, 491, 496]",1.907149,0.000660
serie_2,82,"[170, 204, 335, 375, 389, 412, 475, 491, 496]",2.042826,0.000651
serie_2,83,"[27, 67, 70, 146, 155, 184, 205, 207, 370]",2.035095,0.000665
serie_2,84,"[56, 67, 276, 327, 359, 413, 455, 470, 473]",1.791699,0.000658
serie_2,85,"[116, 182, 213, 265, 319, 414, 434, 475, 496]",1.669939,0.000652
serie_2,86,"[29, 76, 329, 359, 368, 391, 407, 440, 494]",1.876933,0.000658
serie_2,87,"[91, 112, 129, 263, 282, 296, 403, 405, 441]",1.775233,0.000662
serie_2,88,"[94, 108, 192, 241, 248, 290, 371, 400, 421]",1.533235,0.000648
serie_2,89,"[18, 33, 127, 216, 217, 234, 291, 332, 412]",1.862824,0.000701
serie_2,90,"[147, 187, 247, 281, 313, 328, 351, 438, 456]",1.804294,0.000664
serie_2,91,"[44, 181, 183, 219, 295, 308, 444, 460, 461]",1.987488,0.000663
serie_2,92,"[63, 100, 133, 176, 285, 330, 408, 430, 469]",1.672232,0.000663
serie_2,93,"[120, 212, 227, 285, 317, 388, 468, 488, 490]",1.874298,0.000714
serie_2,94,"[50, 122, 212, 306, 337, 352, 400, 443, 491]",1.655833,0.000760
serie_2,95,"[19, 47, 110, 256, 285, 294, 387, 469, 493]",1.877950,0.000668
serie_2,96,"[12, 29, 40, 95, 97, 119, 248, 342, 486]",2.004065,0.000683
serie_2,97,"[71, 110, 137, 153, 228, 236, 238, 329, 404]",1.745279,0.000666
serie_2,98,"[164, 246, 275, 323, 389, 432, 436, 480, 499]",1.753458,0.000655
serie_2,99,"[76, 140, 179, 270, 276, 297, 424, 460, 463]",1.881769,0.000680
serie_2,100,"[219, 237, 249, 265, 310, 319, 416, 417, 449]",2.041716,0.000701
serie_3,1,"[50, 55, 81, 109, 149, 214, 242, 291, 306, 342, 348, 366, 437, 575, 696, 707, 749, 842, 948]",0.961122,0.001236
serie_3,2,"[68, 176, 204, 282, 319, 364, 367, 443, 484, 581, 594, 680, 686, 690, 697, 725, 875, 964, 995]",0.964403,0.001069
